prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.06,0.0,0.06
0.0,0.1,0.0,0.06,0.0,0.06
0.0,0.15,0.0,0.1,0.0,0.1
0.0,0.2,0.0,0.115,0.0,0.115
0.0,0.25,0.0,0.12,0.0,0.12
0.0,0.3,0.0,0.14333333333333334,0.0,0.14333333333333334
0.0,0.35,0.0,0.17142857142857143,0.0,0.17142857142857143
0.0,0.4,0.0,0.1525,0.0,0.1525
0.0,0.45,0.0,0.13555555555555557,0.0,0.13555555555555557
0.0,0.5,0.0,0.122,0.0,0.122
0.0,0.55,0.0,0.11090909090909092,0.0,0.11090909090909092
0.0,0.6,0.0,0.10166666666666667,0.0,0.10166666666666667
0.0,0.65,0.0,0.09384615384615384,0.0,0.09384615384615384
0.0,0.7,0.0,0.08714285714285715,0.0,0.08714285714285715
0.0,0.75,0.0,0.08133333333333333,0.0,0.08133333333333333
0.0,0.8,0.0,0.07625,0.0,0.07625
0.0,0.85,0.0,0.07176470588235294,0.0,0.07176470588235294
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.12,0.0,0.12
0.0,0.1,0.0,0.14,0.0,0.14
0.0,0.15,0.0,0.13333333333333333,0.0,0.13333333333333333
0.0,0.2,0.0,0.14,0.0,0.14
0.0,0.25,0.0,0.144,0.0,0.144
0.0,0.3,0.0,0.16,0.0,0.16
0.0,0.35,0.0,0.16857142857142857,0.0,0.16857142857142857
0.0,0.4,0.0,0.1475,0.0,0.1475
0.0,0.45,0.0,0.13111111111111112,0.0,0.13111111111111112
0.0,0.5,0.0,0.118,0.0,0.118
0.0,0.55,0.0,0.10727272727272727,0.0,0.10727272727272727
0.0,0.6,0.0,0.09833333333333333,0.0,0.09833333333333333
0.0,0.65,0.0,0.09076923076923077,0.0,0.09076923076923077
0.0,0.7,0.0,0.08428571428571428,0.0,0.08428571428571428
0.0,0.75,0.0,0.07866666666666666,0.0,0.07866666666666666
0.0,0.8,0.0,0.07375,0.0,0.07375
0.0,0.85,0.0,0.06941176470588235,0.0,0.06941176470588235
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.04,0.0,0.04
0.0,0.1,0.0,0.06,0.0,0.06
0.0,0.15,0.0,0.1,0.0,0.1
